Trial_ID,Sim_Time,Dev_EUI,Node_ID,F_Cnt,Msgs_Window,Target,Server_Sat,Net_Status_Flag,Node_State,Node_Action,Node_Period,Active_Nodes
1,2579.79,70b3d57ed0073864,5,39,30,30,100.0,0,3,REWARD,60,6
1,2585.39,70b3d57ed007386a,6,41,31,30,98.42,1,3,REWARD,60,6
1,2593.61,70b3d57ed007386c,7,45,30,30,100.0,0,3,REWARD,60,6
1,2594.28,70b3d57ed00733ea,2,34,31,30,98.42,1,3,REWARD,60,6
1,2603.95,70b3d57ed007334e,1,38,30,30,100.0,0,3,REWARD,60,6
1,2620.93,70b3d57ed0073859,4,30,31,30,98.42,1,2,REWARD,60,6
1,2639.78,70b3d57ed0073864,5,40,30,30,100.0,0,3,REWARD,60,6
1,2645.39,70b3d57ed007386a,6,43,30,30,100.0,0,3,REWARD,60,6
1,2653.71,70b3d57ed007386c,7,47,30,30,100.0,0,3,REWARD,60,6
1,2654.37,70b3d57ed00733ea,2,35,30,30,100.0,0,3,REWARD,60,6
1,2664.09,70b3d57ed007334e,1,39,30,30,100.0,0,3,REWARD,60,6
1,2680.77,70b3d57ed0073859,4,31,31,30,98.42,1,2,REWARD,60,6
1,2699.78,70b3d57ed0073864,5,41,31,30,98.42,1,3,REWARD,60,6
1,2705.4,70b3d57ed007386a,6,44,31,30,98.42,1,3,REWARD,60,6
1,2713.46,70b3d57ed007386c,7,48,31,30,98.42,1,3,REWARD,60,6
1,2714.31,70b3d57ed00733ea,2,36,30,30,100.0,0,3,REWARD,60,6
1,2723.95,70b3d57ed007334e,1,40,30,30,100.0,0,3,REWARD,60,6
1,2740.58,70b3d57ed0073859,4,32,31,30,98.42,1,2,REWARD,60,6
1,2759.79,70b3d57ed0073864,5,42,30,30,100.0,0,3,REWARD,60,6
1,2765.4,70b3d57ed007386a,6,45,30,30,100.0,0,3,REWARD,60,6
1,2773.48,70b3d57ed007386c,7,49,31,30,98.42,1,3,REWARD,60,6
1,2774.31,70b3d57ed00733ea,2,38,31,30,98.42,1,3,REWARD,60,6
1,2783.95,70b3d57ed007334e,1,41,31,30,98.42,1,3,REWARD,60,6
1,2800.27,70b3d57ed0073859,4,34,31,30,98.42,1,2,REWARD,60,6
1,2819.78,70b3d57ed0073864,5,43,30,30,100.0,0,3,REWARD,60,6
1,2825.4,70b3d57ed007386a,6,46,30,30,100.0,0,3,REWARD,60,6
1,2833.45,70b3d57ed007386c,7,50,31,30,98.42,1,3,REWARD,60,6
1,2834.3,70b3d57ed00733ea,2,39,31,30,98.42,1,3,REWARD,60,6
1,2843.97,70b3d57ed007334e,1,42,31,30,98.42,1,3,REWARD,60,6
1,2860.1,70b3d57ed0073859,4,35,31,30,98.42,1,2,REWARD,60,6
1,2879.93,70b3d57ed0073864,5,44,30,30,100.0,0,3,REWARD,60,6
1,2885.39,70b3d57ed007386a,6,47,30,30,100.0,0,3,REWARD,60,6
1,2893.47,70b3d57ed007386c,7,51,31,30,98.42,1,3,REWARD,60,6
1,2894.31,70b3d57ed00733ea,2,40,30,30,100.0,0,3,REWARD,60,6
1,2903.95,70b3d57ed007334e,1,43,31,30,98.42,1,3,REWARD,60,6
1,2919.92,70b3d57ed0073859,4,36,31,30,98.42,1,2,REWARD,60,6
1,2939.8,70b3d57ed0073864,5,45,30,30,100.0,0,3,REWARD,60,6
1,2945.41,70b3d57ed007386a,6,48,30,30,100.0,0,3,REWARD,60,6
1,2953.48,70b3d57ed007386c,7,52,31,30,98.42,1,3,REWARD,60,6
1,2954.31,70b3d57ed00733ea,2,41,31,30,98.42,1,3,REWARD,60,6
1,2963.96,70b3d57ed007334e,1,44,31,30,98.42,1,3,REWARD,60,6
1,2979.75,70b3d57ed0073859,4,37,31,30,98.42,1,2,REWARD,60,6
1,2999.79,70b3d57ed0073864,5,46,30,30,100.0,0,3,REWARD,60,6
1,3005.41,70b3d57ed007386a,6,49,30,30,100.0,0,3,PUNISH,60,6
1,3013.48,70b3d57ed007386c,7,53,30,30,100.0,0,3,REWARD,60,6
1,3014.32,70b3d57ed00733ea,2,42,30,30,100.0,0,3,REWARD,60,6
1,3023.98,70b3d57ed007334e,1,45,30,30,100.0,0,3,REWARD,60,6
1,3039.55,70b3d57ed0073859,4,38,31,30,98.42,1,2,REWARD,60,6
1,3059.8,70b3d57ed0073864,5,47,30,30,100.0,0,3,REWARD,60,6
1,3065.41,70b3d57ed007386a,6,50,30,30,100.0,0,3,REWARD,60,6
1,3073.48,70b3d57ed007386c,7,54,30,30,100.0,0,3,REWARD,60,6
1,3074.33,70b3d57ed00733ea,2,43,30,30,100.0,0,3,REWARD,60,6
1,3083.97,70b3d57ed007334e,1,46,30,30,100.0,0,3,REWARD,60,6
1,3099.4,70b3d57ed0073859,4,39,31,30,98.42,1,2,REWARD,60,6
1,3119.81,70b3d57ed0073864,5,48,30,30,100.0,0,3,REWARD,60,6
1,3125.41,70b3d57ed007386a,6,51,30,30,100.0,0,3,REWARD,60,6
1,3133.49,70b3d57ed007386c,7,55,30,30,100.0,0,3,REWARD,60,6
1,3134.34,70b3d57ed00733ea,2,44,30,30,100.0,0,3,REWARD,60,6
1,3143.96,70b3d57ed007334e,1,47,31,30,98.42,1,3,REWARD,60,6
1,3159.22,70b3d57ed0073859,4,40,31,30,98.42,1,2,REWARD,60,6
1,3179.8,70b3d57ed0073864,5,49,31,30,98.42,1,3,PUNISH,60,6
1,3185.43,70b3d57ed007386a,6,52,30,30,100.0,0,3,REWARD,60,6
1,3193.5,70b3d57ed007386c,7,56,30,30,100.0,0,3,REWARD,60,6
1,3194.34,70b3d57ed00733ea,2,45,30,30,100.0,0,3,REWARD,60,6
1,3204.21,70b3d57ed007334e,1,48,30,30,100.0,0,3,REWARD,60,6
1,3219.04,70b3d57ed0073859,4,41,31,30,98.42,1,2,REWARD,60,6
1,3239.8,70b3d57ed0073864,5,50,31,30,98.42,1,3,REWARD,60,6
1,3245.42,70b3d57ed007386a,6,53,30,30,100.0,0,3,REWARD,60,6
1,3253.49,70b3d57ed007386c,7,57,30,30,100.0,0,3,REWARD,60,6
